Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Experience
Dwyte Smiley,S,Youngstown State,73,198,4.57,35,13,115,7.18,4.29,0,-1
Jamel Smith,ILB,Virginia Tech,72,245,5.18,29.5,,108,7.51,4.58,0,-1
Keith Smith,RB,Arizona,70,207,4.5,,,,,,0,9
Marvel Smith,OT,Arizona State,77,320,5.37,27.5,24,100,7.87,4.83,38,9
Paul Smith,FB,Texas-El Paso,71,220,4.65,,25,,,,132,0
Robaire Smith,DE,Michigan State,76,275,4.88,,,,,,197,11
Terrelle Smith,FB,Arizona State,72,249,5,32.5,19,109,8.38,4.85,96,10
R. Jay Soward,WR,USC,69,177,4.34,35,,124,,,29,2
Rashon Spikes,RB,Boise State,70,204,4.78,33,13,113,7.18,4.47,0,-1
Quinton Spotwood,WR,Syracuse,71,184,4.55,33.5,,123,,,0,-1
Dave Stachelski,TE,Boise State,75,250,4.78,38,24,115,6.84,4.14,141,2
Shyrone Stith,RB,Virginia Tech,67,204,4.6,35,13,111,7.14,4.14,243,3
Jay Tant,TE,Northwestern,75,255,4.75,,31,,,,164,0
Mark Tauscher,OG,Wisconsin,75,318,5.37,27,22,90,7.91,4.84,224,11
Shannon Taylor,OLB,Virginia,75,249,4.65,34.5,,115,,,184,4
Travis Taylor,WR,Florida,73,199,4.43,37,,118,7.15,,10,9
Adalius Thomas,DE,Southern Miss,74,270,4.56,38.5,,120,,4.42,186,10
Jason Thomas,OG,South Carolina,75,300,5.22,29.5,23,100,7.99,,222,3
Michael Thompson,OT,Tennessee State,76,305,5.28,26,16,104,7.99,4.73,100,3
Raynoch Thompson,OLB,Tennessee,75,220,4.65,,,,,,41,5
Travares Tillman,S,Georgia Tech,73,194,4.6,37.5,15,123,6.95,4.29,58,7
Mao Tosi,DT,Idaho,77,310,5.26,28.5,19,99,7.72,4.6,136,2
Mac Tuiaea,DT,Washington,78,296,5.09,29,25,99,7.82,4.72,0,-1
Ryan Tujague,OG,Washington State,77,297,5.16,27,21,96,8.18,4.95,0,-1
Jeff Ulbrich,ILB,Hawaii,72,249,4.65,32,24,109,7.23,4.3,86,10
Brian Urlacher,OLB,New Mexico,76,258,4.59,34,27,122,6.94,4.18,9,13
Darrick Vaughn,CB,Texas State,71,196,4.53,36.5,14,121,7.09,4.16,211,3
Andy Vincent,OG,Texas A&M,76,306,5.2,28.5,14,108,7.54,4.42,0,1
Todd Wade,OT,Mississippi,80,326,5.22,27.5,29,101,7.68,4.68,53,9
Jeff Walker,P,Mississippi State,70,218,,,,,,,0,2
Darwin Walker,DT,Tennessee,74,293,4.82,,,,,,71,9
Troy Walters,WR,Stanford,66,171,4.55,32.5,,106,6.61,3.84,165,8
Steve Warren,DT,Nebraska,73,307,5.1,30.5,29,105,7.97,4.56,74,3
Peter Warrick,WR,Florida State,71,194,4.58,,,,,,4,6
Jason Webster,CB,Texas A&M,69,180,4.42,35.5,17,122,6.76,3.98,48,9
James Whalen,TE,Kentucky,74,228,4.78,31,,110,7.42,4.22,157,4
Austin Wheatley,TE,Iowa,76,254,4.66,32.5,,121,6.97,4.18,158,0
Damen Wheeler,CB,Colorado,69,179,4.51,35,11,115,7.21,4.27,203,1
Anthony White,RB,Kentucky,72,195,4.68,32.5,,118,7.05,4.24,0,1
Jerard White,CB,Massachusetts,73,213,4.61,38.5,14,118,6.96,4.53,0,0
Dez White,WR,Georgia Tech,73,218,4.62,37.5,,124,6.91,4.09,69,6
Michael Wiley,RB,Ohio State,71,193,4.5,,,,,,144,3
Boo Williams,RB,South Carolina,71,222,4.52,,,,,,0,5
Bobbie Williams,OT,Arkansas,76,332,5.26,29,28,97,7.78,4.72,61,13
James Williams,WR,Marshall,71,180,4.59,36,,123,7.22,4.16,175,-1
Jack Williams,S,Azusa Pacific,70,206,4.72,31.5,15,108,7.15,4.65,119,3
Josh Williams,DT,Michigan,75,282,4.9,30.5,,111,7.22,4.25,122,-1
Antonio Wilson,OLB,Texas A&M-Commerce,74,245,4.56,,11,,,,106,3
Cedric Woodard,DT,Texas,74,290,5.21,30.5,23,109,,,191,6
Destry Wright,RB,Jackson State,71,216,4.84,29.5,15,112,7.15,4.41,0,0
Spergon Wynn,QB,Texas State,75,229,4.91,34,,108,7.71,4.59,183,2
Bashir Yamini,WR,Iowa,75,191,4.53,33,,130,7.09,4.18,0,1
Brian Young,DE,Texas-El Paso,74,278,4.94,29.5,27,106,7.2,4.47,139,9
Keith Adams,OLB,Clemson,71,219,4.82,,24,104,,,232,7
Hakim Akbar,S,Washington,72,210,4.55,,,,,,163,3
Brian Allen,OLB,Florida State,72,238,4.65,,25,,,,83,3
David Allen,RB,Kansas State,69,194,4.62,31,15,111,,,0,2
Matt Allen,P,Troy,75,246,,,,,,,0,-1
Will Allen,CB,Syracuse,70,192,4.44,39.5,14,121,6.78,3.9,22,12
Scotty Anderson,WR,Grambling State,74,184,4.57,34.5,,115,,,148,3
Adam Archuleta,S,Arizona State,72,211,4.46,,31,,,,20,7
Tom Ashworth,OG,Colorado,78,293,5.11,33.5,20,109,7.4,4.3,0,5
Billy Baber,TE,Virginia,76,255,4.76,33,22,106,7.12,4.19,141,3
Jeff Backus,OT,Michigan,77,310,5.37,27,25,99,8.27,4.67,18,12
Rodney Bailey,DE,Ohio State,75,283,5.1,,,,,,181,7
Jason Baker,P,Iowa,73,198,,,,,,,0,11
Alex Bannister,WR,East. Kentucky,77,201,4.47,30.5,,110,,,140,6
Kevan Barlow,RB,Pittsburgh,73,235,4.56,,,,,,80,6
Idrees Bashir,S,Memphis,74,206,4.56,40,22,126,7.14,4.2,37,6
